(node:7716) Warning: Setting the NODE_TLS_REJECT_UNAUTHORIZED environment variable to '0' makes TLS connections and HTTPS requests insecure by disabling certificate verification.
(Use `node --trace-warnings ...` to show where the warning was created)
ENG         1915  brans=[ingilizce]  sinif=[2,3,4,5,6,7,8,9,10,11,12]  ders=[İngilizce]  örn=ENG.2.1.L1, ENG.2.1.L2, ENG.2.1.L3
ARP          598  brans=[ihl_meslek_dersleri,arapca]  sinif=[2,3,4,5,6,7,8,9,10]  ders=[Arapça]  örn=ARP.10.2.3, ARP.10.2.6, ARP.2.1.1.1
T            483  brans=[turkce]  sinif=[1,2,3,4,5,6,7,8]  ders=[Türkçe]  örn=T.D.1.2, T.D.1.3, T.Y.1.1
MAT          310  brans=[matematik]  sinif=[1,2,3,4,5,6,7,8,9,10,11,12]  ders=[Matematik|Matematik Uygulamaları]  örn=MAT.1.1.1, MAT.1.1.2, MAT.1.1.3
TDE          245  brans=[turk_dili_edebiyati]  sinif=[9,10,11,12]  ders=[Türk Dili ve Edebiyatı]  örn=TDE.9.T1.1.1, TDE.9.T1.1.2, TDE.9.T1.2.1
DE           214  brans=[ihl_meslek_dersleri,almanca]  sinif=[5,6,7,8,11]  ders=[Din Eğitimi|Almanca]  örn=DE.1.1, DE.1.2, DE.2.1
FB           182  brans=[fen_bilimleri]  sinif=[3,4,5,6,7,8]  ders=[Fen Bilimleri]  örn=FB.3.1.1, FB.3.1.2, FB.3.2.1
GS           180  brans=[gorsel_sanatlar]  sinif=[1,2,3,4,5,6,7,8,9,10,11,12]  ders=[Görsel Sanatlar]  örn=GS.1.1.1, GS.1.1.2, GS.1.2.1
DKAB         169  brans=[din_kulturu]  sinif=[4,5,6,7,8,9,10,11,12]  ders=[Din Kültürü ve Ahlak Bilgisi]  örn=DKAB.4.1.1, DKAB.4.1.2, DKAB.4.1.3
MÜZ          146  brans=[muzik]  sinif=[1,2,3,4,5,6,7,8,9,10,11,12]  ders=[Müzik]  örn=MÜZ.9.1.1, MÜZ.9.1.2, MÜZ.9.1.3
KK           126  brans=[din_kulturu]  sinif=[5,6,7,8,9,10,11,12]  ders=[Kur'an-ı Kerim]  örn=KK.9.1.1, KK.9.1.2, KK.9.1.3
